Equipo,MetaEquipo,Tabla,Link
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2020-2021/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2019-2020/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2019-2020/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2019-2020/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2019-2020/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2019-2020/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2019-2020/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2019-2020/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2019-2020/Girona-Stats#all_matchlogs
